release.date,release.time,release.location,id.prefix,last.four,treatment
2024-05-23,13:20,ham.us,384.3a70c4,fa15,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe3d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f95a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8f3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8f3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f986,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe81,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc86,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,faa3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdde,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb36,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc62,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fca2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa7f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc1e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd39,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f99d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc71,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe74,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8e2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcf2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd20,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe9e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb00,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd4f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe98,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbf4,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc84,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fafa,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb21,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa64,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa77,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc76,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,faa6,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f934,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9b3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9dc,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f976,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fba8,archimedes1
